LOCAL,Localitat,,LAVADORAS,,,,,SECADORAS,,
HORTES,GRANOLLERS,,Muy caliente,Caliente,Templado,Frío,,,,
,,,60º,40º,30º,*,,,,
,,,,,,,,,,
ALEMANYA,MATARÓ,,Muy caliente,Caliente,Templado,Frío,,,,
,,,60º,40º,30º,*,,,,
,,,,,,,,Alta temperatura,Media temperatura,Baja temperatura
,,,,,,,,,,
GOYA,MATARÓ,,1,2,3,4,,,,
,,,Muy caliente,Caliente,Templado,Frío,,,,
,,,60º,40º,30º,*,,,,
,,,,,,,,,,
PINEDA,PINEDA de Mar,,1,2,3,4,,,,
,,,Muy caliente,Caliente,Templado,Frío,,,,
,,,60º,40º,30º,*,,,,
,,,,,,,,,,
ESCALA,L'Escala,,1,2,3,4,5,,,
,,,Frío,Templado,Caliente,Muy caliente,Centrifugado,,,
,,,*,30º,40º,60º,,,,
,,,,,,,,,,
PLATJA D'ARO,PLATJA D'ARO,,1,2,3,4,,,,
,,,Muy caliente,Caliente,Templado,Frío,,,,
,,,60º,40º,30º,*,,,,
